uniProtID,accession,label,existence,species,history,old_ID
CYSO_AERPE,Q9YBL2,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2006-01-24', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 125, 'sequenceVersion': 3}",CYSO_AERPE
G1PDH_AERPE,Q9YER2,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2001-12-05', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2007-06-26', 'entryVersion': 117, 'sequenceVersion': 2}",G1PDH_AERPE
TDXH_AERPE,Q9Y9L0,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2001-06-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1999-11-01', 'entryVersion': 130, 'sequenceVersion': 1}",TDXH_AERPE
DNLI_AERPE,Q9YD18,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2001-06-20', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2001-06-20', 'entryVersion': 126, 'sequenceVersion': 2}",DNLI_AERPE
PGMI_AERPE,Q9YE01,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2006-03-21', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-06-26', 'entryVersion': 90, 'sequenceVersion': 2}",PGMI_AERPE
OFOB1_AERPE,Q9YA11,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2018-10-10', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1999-11-01', 'entryVersion': 99, 'sequenceVersion': 1}",OFOB1_AERPE
GLK_AERPE,Q9YA47,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2020-02-26', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2006-11-14', 'entryVersion': 88, 'sequenceVersion': 2}",GLK_AERPE
SYTE_AERPE,Q9YFY3,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2000-12-01', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2007-06-26', 'entryVersion': 108, 'sequenceVersion': 2}",SYTE_AERPE
OFOA2_AERPE,Q9YBX7,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2018-10-10', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2006-11-14', 'entryVersion': 106, 'sequenceVersion': 2}",OFOA2_AERPE
MTAP_AERPE,Q9YAQ8,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2012-01-25', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1999-11-01', 'entryVersion': 112, 'sequenceVersion': 1}",MTAP_AERPE
KVAP_AERPE,Q9YDF8,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2003-11-28', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '1999-11-01', 'entryVersion': 129, 'sequenceVersion': 1}",KVAP_AERPE
AIPS_AERPE,Q9YBS3,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2019-10-16', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2006-11-14', 'entryVersion': 93, 'sequenceVersion': 2}",AIPS_AERPE
SODF_AERPE,Q9Y8H8,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2000-12-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1999-11-01', 'entryVersion': 123, 'sequenceVersion': 1}",SODF_AERPE
BRIX_AERPE,Q9YC08,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2003-08-29', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2007-06-26', 'entryVersion': 102, 'sequenceVersion': 2}",BRIX_AERPE
ALBA2_AERPE,Q9YAX2,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2003-09-09', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '1999-11-01', 'entryVersion': 104, 'sequenceVersion': 1}",ALBA2_AERPE
IF2P_AERPE,Q9Y9B3,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2000-05-30', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1999-11-01', 'entryVersion': 129, 'sequenceVersion': 1}",IF2P_AERPE
RL7A_AERPE,Q9YAX7,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2000-05-30', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1999-11-01', 'entryVersion': 118, 'sequenceVersion': 1}",RL7A_AERPE
RF1_AERPE,Q9YAF1,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2001-08-14', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2001-08-14', 'entryVersion': 110, 'sequenceVersion': 2}",RF1_AERPE
GSA_AERPE,Q9Y9I9,1,Evidence at protein level,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),"{'firstPublicDate': '2001-06-01', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2007-07-10', 'entryVersion': 129, 'sequenceVersion': 2}",GSA_AERPE
