uniProtID,accession,label,existence,species,history,old_ID
Y56B_SIRV1,Q8QL46,1,Evidence at protein level,Sulfolobus islandicus rod-shaped virus 1,"{'firstPublicDate': '2008-07-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2002-06-01', 'entryVersion': 63, 'sequenceVersion': 1}",The12
SSPO_ANOFW,B7GI77,1,Inferred from homology,Anoxybacillus flavithermus (strain DSM 21510 / WK1),"{'firstPublicDate': '2009-04-14', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2009-02-10', 'entryVersion': 60, 'sequenceVersion': 1}",The18
XYLA_THENE,P45687,1,Evidence at protein level,Thermotoga neapolitana,"{'firstPublicDate': '1995-11-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1995-11-01', 'entryVersion': 118, 'sequenceVersion': 1}",The41
NDK_PYRAE,Q8ZWY4,1,Evidence at protein level,Pyrobaculum aerophilum (strain ATCC 51768 / DSM 7523 / JCM 9630 / CIP 104966 / NBRC 100827 / IM2),"{'firstPublicDate': '2002-03-05', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2002-03-05', 'entryVersion': 118, 'sequenceVersion': 1}",The68
PRNK_PYRHO,O57936,1,Evidence at protein level,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),"{'firstPublicDate': '2009-05-26', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1998-08-01', 'entryVersion': 121, 'sequenceVersion': 1}",The400
RS28_PYRHO,P61030,1,Evidence at protein level,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),"{'firstPublicDate': '2004-04-26', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-04-26', 'entryVersion': 98, 'sequenceVersion': 1}",The416
SYR_PYRHO,O59147,1,Evidence at protein level,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),"{'firstPublicDate': '2000-05-30', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '1998-08-01', 'entryVersion': 135, 'sequenceVersion': 1}",The425
PSTOM_PYRHO,O59180,1,Evidence at protein level,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),"{'firstPublicDate': '2000-05-30', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '1998-08-01', 'entryVersion': 112, 'sequenceVersion': 1}",The442
FTSH_AQUAE,O67077,1,Evidence at protein level,Aquifex aeolicus (strain VF5),"{'firstPublicDate': '2000-05-30', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1998-08-01', 'entryVersion': 149, 'sequenceVersion': 1}",The474
NUSB_AQUAE,O66530,1,Evidence at protein level,Aquifex aeolicus (strain VF5),"{'firstPublicDate': '2000-05-30', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1998-08-01', 'entryVersion': 124, 'sequenceVersion': 1}",The499
