uniProtID,accession,label,existence,species,history
ARLY_THET8,Q5SLL0,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-06-27', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 109, 'sequenceVersion': 1}"
FOLD_THET8,Q5SJ94,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-12-12', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 97, 'sequenceVersion': 1}"
LDH_THET8,Q5SJA1,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-05-30', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 117, 'sequenceVersion': 1}"
LEPA_THET8,Q5SKA7,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-03-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 105, 'sequenceVersion': 1}"
LIPB_THET8,Q5SLQ3,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-06-27', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 102, 'sequenceVersion': 1}"
MURB_THET8,Q5SJC8,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-03-07', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 106, 'sequenceVersion': 1}"
NDK_THET8,Q5SLV5,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-06-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 106, 'sequenceVersion': 1}"
NOX_THET8,Q60049,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1998-07-15', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 118, 'sequenceVersion': 2}"
NQO10_THET8,Q56225,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 115, 'sequenceVersion': 1}"
NQO11_THET8,Q56226,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 128, 'sequenceVersion': 1}"
NQO12_THET8,Q56227,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 123, 'sequenceVersion': 1}"
NQO13_THET8,Q56228,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 133, 'sequenceVersion': 2}"
NQO14_THET8,Q56229,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 133, 'sequenceVersion': 2}"
NQO15_THET8,Q5SKZ7,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-04-18', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 101, 'sequenceVersion': 3}"
NQO1_THET8,Q56222,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 141, 'sequenceVersion': 1}"
NQO2_THET8,Q56221,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 154, 'sequenceVersion': 3}"
NQO3_THET8,Q56223,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 158, 'sequenceVersion': 2}"
NQO4_THET8,Q56220,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 142, 'sequenceVersion': 1}"
NQO5_THET8,Q56219,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 134, 'sequenceVersion': 1}"
NQO6_THET8,Q56218,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 138, 'sequenceVersion': 3}"
NQO7_THET8,Q56217,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 121, 'sequenceVersion': 1}"
NQO9_THET8,Q56224,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1997-11-01', 'entryVersion': 152, 'sequenceVersion': 1}"
NUSG_THET8,P35872,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1994-06-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1994-06-01', 'entryVersion': 124, 'sequenceVersion': 1}"
OTC_THET2,P96134,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1998-07-15', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1997-05-01', 'entryVersion': 133, 'sequenceVersion': 1}"
PANC_THET8,Q5SHF5,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-10-25', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 98, 'sequenceVersion': 1}"
PAND_THET8,Q5SKN7,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-06-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 104, 'sequenceVersion': 1}"
PDXS_THET8,Q5SKD9,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-07-05', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-07-05', 'entryVersion': 114, 'sequenceVersion': 2}"
PDXT_THET8,Q5SKD6,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-07-05', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 92, 'sequenceVersion': 1}"
PHR_THET8,P61497,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-05-24', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-05-24', 'entryVersion': 112, 'sequenceVersion': 1}"
PRMA_THET8,Q84BQ9,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2003-11-28', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 119, 'sequenceVersion': 2}"
PTH_THET8,Q5SHZ2,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-06-21', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 94, 'sequenceVersion': 1}"
PURL_THET8,Q5SMH8,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-06-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 111, 'sequenceVersion': 1}"
PYRG_THET8,Q5SIA8,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-12-12', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 108, 'sequenceVersion': 1}"
RECR_THET8,Q5SHY0,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-08-16', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 94, 'sequenceVersion': 1}"
RF1_THET8,P96077,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '1997-05-01', 'entryVersion': 126, 'sequenceVersion': 1}"
RIMM_THET8,Q5SJH5,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-06-07', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 98, 'sequenceVersion': 1}"
RL10_THET2,Q72GS1,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-03-15', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 90, 'sequenceVersion': 1}"
RL11_THET8,Q5SLP6,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-03-29', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 125, 'sequenceVersion': 1}"
RL13_THET2,Q72IN1,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-11-28', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2006-11-28', 'entryVersion': 104, 'sequenceVersion': 2}"
RL14_THET2,Q72I14,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-12-12', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 110, 'sequenceVersion': 1}"
RL14_THETH,P60558,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-03-15', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-03-15', 'entryVersion': 80, 'sequenceVersion': 1}"
RL15_THET8,Q5SHQ7,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-03-29', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 141, 'sequenceVersion': 1}"
RL16_THET2,Q72I11,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-01-10', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 105, 'sequenceVersion': 1}"
RL19_THET8,P60490,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-03-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 153, 'sequenceVersion': 2}"
RL1_THET8,Q5SLP7,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-03-29', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 131, 'sequenceVersion': 3}"
RL20_THET8,P60491,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-03-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 148, 'sequenceVersion': 3}"
RL25_THET2,Q72IA7,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-07-19', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 111, 'sequenceVersion': 1}"
RL6_THET2,Q72I19,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-11-28', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 110, 'sequenceVersion': 1}"
RL7_THET2,Q72GS2,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-06-27', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 97, 'sequenceVersion': 1}"
RL9_THET8,Q5SLQ1,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-03-29', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 143, 'sequenceVersion': 1}"
RPIA_THET2,Q72J47,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-06-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 105, 'sequenceVersion': 1}"
RPOA_THET8,Q5SHR6,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-05-24', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 121, 'sequenceVersion': 1}"
RS10_THET8,Q5SHN7,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2005-03-29', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 158, 'sequenceVersion': 3}"
RS11_THET2,P62654,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-07-19', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 107, 'sequenceVersion': 2}"
RS12_THET2,P61941,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-06-07', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 119, 'sequenceVersion': 2}"
RS13_THET2,P62655,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-07-19', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 111, 'sequenceVersion': 2}"
RS17_THET2,P62658,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-07-19', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 111, 'sequenceVersion': 2}"
RS20_THET2,P62661,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-07-19', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 114, 'sequenceVersion': 2}"
RS2_THET2,P62662,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-07-19', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 111, 'sequenceVersion': 2}"
RS3_THET2,P62663,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-07-19', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 116, 'sequenceVersion': 2}"
RS4_THET2,P62664,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-07-19', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 115, 'sequenceVersion': 2}"
RS7_THET2,P62667,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-07-19', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 110, 'sequenceVersion': 2}"
RS8_THET2,P62668,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-07-19', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-07-19', 'entryVersion': 105, 'sequenceVersion': 1}"
RUVC_THET8,Q5SJC4,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-03-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 96, 'sequenceVersion': 1}"
SECE_THET8,P38383,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1994-10-01', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 121, 'sequenceVersion': 2}"
SODM_THET8,P61503,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-05-24', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 103, 'sequenceVersion': 2}"
SSRP_THET8,Q8RR57,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2003-04-23', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2002-06-01', 'entryVersion': 110, 'sequenceVersion': 1}"
SUCC_THETH,P25126,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1992-05-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1992-05-01', 'entryVersion': 104, 'sequenceVersion': 1}"
SUCD_THETH,P09143,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1989-07-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1989-07-01', 'entryVersion': 130, 'sequenceVersion': 1}"
SURE_THET8,Q53W92,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-05-16', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-05-24', 'entryVersion': 92, 'sequenceVersion': 1}"
SYD_THETH,P36419,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1994-06-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1994-06-01', 'entryVersion': 146, 'sequenceVersion': 1}"
SYE_THET8,P27000,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1992-08-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 149, 'sequenceVersion': 2}"
SYFA_THETH,P27001,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1992-08-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '1992-08-01', 'entryVersion': 143, 'sequenceVersion': 1}"
SYFB_THETH,P27002,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1992-08-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1992-12-01', 'entryVersion': 151, 'sequenceVersion': 2}"
SYG_THET8,P56206,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1997-11-01', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2007-01-23', 'entryVersion': 143, 'sequenceVersion': 3}"
SYH_THET2,P62374,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2004-07-05', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 102, 'sequenceVersion': 1}"
SYK_THETH,P41255,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1995-02-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '1995-02-01', 'entryVersion': 108, 'sequenceVersion': 1}"
SYM_THET8,P23395,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '1991-11-01', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2005-03-29', 'entryVersion': 163, 'sequenceVersion': 2}"
SYP_THET8,Q5SM28,1,Evidence at protein level,Thermus thermophilus,"{'firstPublicDate': '2006-09-05', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 117, 'sequenceVersion': 1}"
