uniProtID,accession,label,existence,species,history,old_ID
ACCA_THET8,Q5SHG3,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-02-21', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 103, 'sequenceVersion': 1}",ACCA_THET8
ACPS_THET8,Q5SII1,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-03-21', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 95, 'sequenceVersion': 1}",ACPS_THET8
ARGB_THET8,Q5SGY0,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-12-12', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 99, 'sequenceVersion': 1}",ARGB_THET8
ARGJ_THET8,Q5SJ18,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-03-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 103, 'sequenceVersion': 1}",ARGJ_THET8
ARLY_THET8,Q5SLL0,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-06-27', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 109, 'sequenceVersion': 1}",ARLY_THET8
AROK_THET8,Q5SII4,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-05-30', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 95, 'sequenceVersion': 1}",AROK_THET8
CCME_THET8,Q5SIG4,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-05-30', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 87, 'sequenceVersion': 1}",CCME_THET8
COAX_THET2,Q72IX3,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2006-12-12', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 96, 'sequenceVersion': 1}",COAX_THET2
DEOC_THET2,Q72JE9,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2006-04-04', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 101, 'sequenceVersion': 1}",DEOC_THET2
DNAK_THET2,Q72IK5,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2006-03-07', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 107, 'sequenceVersion': 1}",DNAK_THET2
DXS_THET8,Q5SMD7,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-10-31', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 97, 'sequenceVersion': 1}",DXS_THET8
FOLD_THET8,Q5SJ94,1,Evidence at protein level,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-12-12', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2004-12-21', 'entryVersion': 97, 'sequenceVersion': 1}",FOLD_THET8
FTHS_THET2,Q72GY9,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2005-12-06', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 96, 'sequenceVersion': 1}",FTHS_THET2
GATA_THET2,Q72L58,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2006-06-27', 'lastAnnotationUpdateDate': '2022-05-25', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 93, 'sequenceVersion': 1}",GATA_THET2
GATB_THET2,Q72H75,1,Inferred from homology,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27),"{'firstPublicDate': '2006-06-27', 'lastAnnotationUpdateDate': '2022-10-12', 'lastSequenceUpdateDate': '2004-07-05', 'entryVersion': 95, 'sequenceVersion': 1}",GATB_THET2
GLGA_THET8,Q5SMC5,1,Inferred from homology,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),"{'firstPublicDate': '2006-04-04', 'lastAnnotationUpdateDate': '2022-08-03', 'lastSequenceUpdateDate': '2006-04-04', 'entryVersion': 97, 'sequenceVersion': 2}",GLGA_THET8
